


Lender Transaction-Level Detail Report -- Institution
Reporting Period	September 2022

Institution	Sample Data
Symbol	XXX

Institution Name	Institution Symbol	Institution State	Library Type	Requests Received	Requests From WorldCat	Requests Canceled	Requests Filled	Requests Filled (Loan)	Requests Filled (Copy)	Requests Unfilled	Electronic Link	Average Turnaround Time For Filled Requests (dd:hh:mm)	Average Turnaround Time For Loan Filled Requests (dd:hh:mm)	Average Turnaround Time For Copy Filled Requests (dd:hh:mm)
BROWNSVILLE PUB LIBR	TS4	TX	Public	1	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
BRYANT UNIV	BRB	RI	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
BRYN MAWR COL	BMC	PA	Academic	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
BUCKNELL UNIV	PBU	PA	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
BUFFALO & ERIE CNTY PUB LIBR	VHB	NY	Public	19	19	0	9	9	0	10	0	0:07:55	0:07:55	0:00:00
BURLESON PUB LIBR	BPE	TX	Public	1	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
BUTTE-SILVER BOW PUB LIBR	MZE	MT	Public	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
CAL POLY HUMBOLDT	CHU	CA	Academic	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
CALIFORNIA LUTHERAN UNIV	CCT	CA	Academic	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
CALIFORNIA POLYTECHNIC STATE UNIV SAN L	CPS	CA	Academic	7	7	0	0	0	0	7	0	0:00:00	0:00:00	0:00:00
CALIFORNIA STATE UNIV FRESNO	CFS	CA	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CALIFORNIA STATE UNIV FULLERTON	CFI	CA	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CALIFORNIA STATE UNIV NORTHRIDGE	CNO	CA	Academic	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
CALIFORNIA STATE UNIV STANISLAUS	CTU	CA	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CALIFORNIA STATE UNIV-LONG BEACH LIBR	CLO	CA	Academic	2	2	0	1	1	0	1	0	1:00:00	1:00:00	0:00:00
CAMAS PUB LIBR	Z#6	WA	Public	2	2	0	2	2	0	0	0	0:12:00	0:12:00	0:00:00
CARNEGIE LIBR OF PITTSBURGH	CPL	PA	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
CEDAR MILL COMMUN LIBR	OXD	OR	Public	6	6	0	4	4	0	2	0	0:12:00	0:12:00	0:00:00
CENTRAL OREGON COMMUN COL LIBR	CEO	OR	Academic	3	3	0	0	0	0	3	0	0:00:00	0:00:00	0:00:00
CENTRAL WASHINGTON UNIV LIBR	CWU	WA	Academic	6	6	0	2	2	0	4	0	0:00:00	0:00:00	0:00:00
CENTURY COL	LCO	MN	Junior, Community, Technical Colleges	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
CERRITOS PUB LIBR	CER	CA	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CHAMPAIGN PUB LIBR & INFO CTR	IKG	IL	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CHARLESTON CNTY LIBR	SXC	SC	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
CHARLOTTE MECKLENBURG LIBR	NPC	NC	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
CHATTAHOOCHEE VAL LIBRS	GCV	GA	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
CHESTER CNTY LIBR & DIST CTR	PWC	PA	Public	3	3	0	2	2	0	1	0	0:00:00	0:00:00	0:00:00
CHICAGO PUB LIBR	CGP	IL	Public	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
CHILLICOTHE & ROSS CNTY PUB LIBR	OCH	OH	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CHOTEAU-TETON PUB LIBR	YUV	MT	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
CITY OF COOS BAY-ESO	BAY	OR	Public	22	22	0	7	7	0	16	0	0:17:02	0:17:02	0:00:00
CLEBURNE PUB LIBR	T8C	TX	Public	1	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CLEVELAND PUB LIBR	CLE	OH	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
COBB CNTY PUB LIBR SYST	ZGJ	GA	Public	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
COCHISE CNTY LIBR DIST	BAZ	AZ	Public	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
COEUR D'ALENE PUB LIBR	ZVR	ID	Public	16	16	1	9	9	0	6	0	0:13:26	0:13:26	0:00:00
COLLEGE OF NEW JERSEY, THE	NJT	NJ	Academic	1	1	0	1	1	0	0	0	3:00:00	3:00:00	0:00:00
COLORADO MESA UNIV	COM	CO	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
COLUMBIA CNTY RURAL LIBR	WACCR	WA	Public	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
COLUMBIA UNIV IN THE CITY OF NEW YORK	ZCU	NY	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
COMMUNITY COLLEGES OF SPOKANE	BV1	WA	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
COMMUNITY LIBR NETWORK	K#T	ID	Public	14	14	0	1	1	0	13	0	1:00:00	1:00:00	0:00:00
COMMUNITY LIBR NETWORK@POST FALLS	P9F	ID	Public	14	14	0	2	2	0	12	0	0:12:00	0:12:00	0:00:00
CONCORDIA UNIV IRVINE LIBR	C5U	CA	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CONCORDIA UNIV LIBR	CDN	QC	Academic	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
COOK MEM PUB LIBR DIST	JBI	IL	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CORBAN UNIV LIBR	OOY	OR	Academic	3	3	0	1	1	0	2	0	1:00:00	1:00:00	0:00:00
CORNELIUS PUB LIBR	OQU	OR	Public	2	2	0	1	1	0	1	0	1:00:00	1:00:00	0:00:00
CORNELL UNIV	COO	NY	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
COUNCIL BLUFFS PUB LIBR	IWB	IA	Public	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
COZBY LIBR & COM COMMONS	WT2	TX	Public	1	0	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
CRAB ORCHARD PUBL LIBR DIST	YYO	IL	Public	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
CROOK CNTY LIBR	CCLIB	OR	Public	4	4	0	2	2	0	2	0	0:12:00	0:12:00	0:00:00
CRYSTAL LAKE PUB LIBR	GK7	IL	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
CUNY THE GRAD CTR LIBR	ZGM	NY	Academic	1	1	0	1	0	1	0	0	0:00:00	0:00:00	0:00:00
DAKOTA CNTY LIBR SYST	DCB	MN	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
DANIEL BOONE REG LIBR	ZAB	MO	Public	3	3	0	1	1	0	2	0	0:00:00	0:00:00	0:00:00
DAUPHIN CNTY LIBR SYST	HBP	PA	Public	3	3	0	0	0	0	3	0	0:00:00	0:00:00	0:00:00
DAVIS CNTY LIBR	UTD	UT	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
DAYTON METRO LIBR	DMM	OH	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
DELAWARE CNTY LIBR SYST	DEL	PA	Public	2	2	0	1	1	0	1	0	1:00:00	1:00:00	0:00:00
DENTON PUB LIBR	QS3	TX	Public	2	0	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
DENVER PUB LIBR	DPL	CO	Public	5	5	0	2	2	0	3	0	0:00:00	0:00:00	0:00:00
DES PLAINES PUB LIBR	GK8	IL	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
DESCHUTES PUB LIBR	DCH	OR	Public	15	15	0	8	8	0	7	0	0:09:07	0:09:07	0:00:00
DESERT FOOTHILLS LIBR	ZE8	AZ	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
DOUGLAS CNTY LIBR	NVQ	NV	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
DOUGLAS CNTY LIBRS	DAD	CO	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
DOVER PUB LIBR	DOV	DE	Public	2	2	0	2	2	0	0	0	0:00:00	0:00:00	0:00:00
DRIFTWOOD PUB LIBR	ORDRI	OR	Public	4	4	0	0	0	0	4	0	0:00:00	0:00:00	0:00:00
DU QUOIN PUB LIBR	XYO	IL	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
DUCHESNE CNTY LIBR - ROOSEVELT	DCRSV	UT	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
DUQUESNE UNIV	DUQ	PA	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
EAST BONNER CNTY LIBR	E4B	ID	Public	3	3	0	4	4	0	1	0	1:18:00	1:18:00	0:00:00
EAST CAROLINA UNIV	ERE	NC	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
EASTERN NEW MEXICO UNIV MAIN CAM	IPU	NM	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
EDGEWOOD COLL	WOP	WI	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
EMPORIA STATE UNIV	KKR	KS	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
ENOCH PRATT FREE LIBR	MDB	MD	Public	14	14	0	0	0	0	14	0	0:00:00	0:00:00	0:00:00
EVANSTON PUB LIBR	IHE	IL	Public	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
EVANSVILLE VANDERBURGH PUB LIBR	IEP	IN	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
EVERETT PUB LIBR	UAI	WA	Public	15	15	0	10	10	0	4	0	0:19:12	0:19:12	0:00:00
FAIRBANKS N STAR BOROUGH LIBR	X#4	AK	Public	2	2	0	3	3	0	0	0	0:16:05	0:16:05	0:00:00
FAIRFAX CNTY PUB LIBR	AXH	VA	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
FALLON CNTY LIBR	YOV	MT	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
FASHION INST OF TECHNOL	UVV	NY	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
FINDLAY HANCOCK PUB LIBR	FPL	OH	Public	3	3	0	1	1	0	2	0	0:00:00	0:00:00	0:00:00
FINGER LAKES LIBR SYST	VYG	NY	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
FLAGSTAFF CITY, COCONINO CNTY LIBR	AZH	AZ	Public	2	2	0	1	1	0	1	0	1:00:00	1:00:00	0:00:00
FORDHAM UNIV	VYF	NY	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
FOREST GROVE PUB LIBR	ORI	OR	Public	2	2	0	1	1	0	1	0	1:00:00	1:00:00	0:00:00
FOREST PARK PUB LIBR	TO9	IL	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
FORSYTH CNTY PUB LIBR	Y32	GA	Public	3	3	0	2	2	0	1	0	0:00:00	0:00:00	0:00:00
FORT BEND CNTY LIBRS	FTX	TX	Public	3	0	0	2	2	0	1	0	0:00:00	0:00:00	0:00:00
FORT SMITH PUB LIBR	FSM	AR	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
FORT STOCKTON PUB LIBR	DA#	TX	Public	1	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
FORT VANCOUVER REG LIBR	YEP	WA	Public	7	7	0	4	4	0	3	0	1:00:00	1:00:00	0:00:00
FRANKFORT PUB LIBR DIST	TM3	IL	Public	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
FRANKLIN & MARSHALL COL	LFM	PA	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
FRISCO PUB LIBR	FHP	TX	Public	4	0	0	0	0	0	4	0	0:00:00	0:00:00	0:00:00
GEAUGA CNTY PUB LIBR	GEC	OH	Public	6	6	0	6	6	0	0	0	0:07:55	0:07:55	0:00:00
GENEVA PUB LIBR DIST	JSY	IL	Public	2	2	0	1	1	0	1	0	2:00:00	2:00:00	0:00:00
GLENDALE LIBR ARTS & CULTURE	CGL	CA	Public	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
GLENDALE PUB LIBR	VTL	AZ	Public	2	2	0	2	2	0	0	0	4:00:00	4:00:00	0:00:00
GLENVIEW PUB LIBR	FM0	IL	Public	1	1	0	1	1	0	0	0	4:00:00	4:00:00	0:00:00
GONZAGA UNIV	WUG	WA	Academic	3	3	0	1	1	0	2	0	1:00:00	1:00:00	0:00:00
GOSHEN COLL LIBR	IGC	IN	Academic	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
GRACE A DOW MEM LIBR	GDM	MI	Public	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
GREAT RIVER REG LIBR	GRR	MN	Public	6	6	0	1	1	0	5	0	0:00:00	0:00:00	0:00:00
GREENE CNTY PUB LIBR	GRC	OH	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
GREENVILLE CNTY LIBR	SGR	SC	Public	4	4	0	1	1	0	3	0	0:00:00	0:00:00	0:00:00
HANSEN COMMUN LIBR	HANCL	ID	Public	3	3	0	1	1	0	2	0	0:00:00	0:00:00	0:00:00
HARRIS CNTY PUB LIBR	HT#	TX	Public	13	0	0	4	4	0	8	0	1:18:00	1:18:00	0:00:00
HARVARD UNIV	HUL	MA	Academic	7	7	0	3	3	0	4	0	0:00:00	0:00:00	0:00:00
HEARTLAND COMMUN COL LIBR	H9C	IL	Junior, Community, Technical Colleges	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HEARTLAND REG LIBR SYST	HRR	MO	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HELEN HALL LIBR	T7L	TX	Public	1	0	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
HELEN M PLUM MEM LIBR	JFL	IL	Public	5	5	0	0	0	0	5	0	0:00:00	0:00:00	0:00:00
HELPER CITY LIBR	UTHLP	UT	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HENDERSON DIST PUB LIBR	H4N	NV	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HENNEPIN CNTY LIBR	HCO	MN	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
HIGH PLAINS LIBR DIST	SO$	CO	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
HIGHLAND CITY LIBR	HGHLN	UT	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
HILLSBORO PUB LIBR	OOV	OR	Public	12	12	0	5	5	0	7	0	0:09:36	0:09:36	0:00:00
HILLSDALE COL, MOSSEY LIBR	EEI	MI	Academic	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
HOFSTRA UNIV	ZIH	NY	Academic	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
HOLY NAMES UNIV, CUSHING LIBR	HN#	CA	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HORRY CNTY MEM LIBR	SHM	SC	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
HOUGHTON COLL	VXO	NY	Academic	3	3	0	3	3	0	0	0	1:00:00	1:00:00	0:00:00
HOUSTON PUB LIBR	TXN	TX	Public	6	0	0	2	2	0	4	0	0:00:00	0:00:00	0:00:00
HOWARD CNTY LIBR SYST	HO$	MD	Public	3	3	0	0	0	0	3	0	0:00:00	0:00:00	0:00:00
HUMBOLDT CNTY LIBR	EHU	CA	Public	3	3	0	1	1	0	2	0	3:00:00	3:00:00	0:00:00
HUNTER COL	ZHM	NY	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
HUNTLEY AREA PUB LIBR DIST	GL7	IL	Public	1	1	0	1	1	0	0	0	2:00:00	2:00:00	0:00:00
HUSSON UNIV LIBR	HCL	ME	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
IDAHO FALLS PUB LIBR	I4F	ID	Public	0	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
ILLINOIS ENVIRON PROT AG LIBR	JDT	IL	State or Municipal Governments	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
IMAGINEIF LIBRS FLATHEAD CNTY	MZC	MT	Public	3	3	0	1	1	0	2	0	0:00:00	0:00:00	0:00:00
INDIAN TRAILS PUB LIBR DIST	JAG	IL	Public	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
INDIANA ST LIB	SHARE	IN	State Library	2	2	0	1	1	0	1	0	1:00:00	1:00:00	0:00:00
INDIANAPOLIS PUB LIBR	IMD	IN	Public	1	1	0	1	1	0	0	0	4:00:00	4:00:00	0:00:00
IOWA CITY PUB LIBR	LXY	IA	Public	2	2	0	2	2	0	0	0	4:00:00	4:00:00	0:00:00
IOWA STATE UNIV	IWA	IA	Major Academic Research	3	3	0	1	1	0	2	0	3:00:00	3:00:00	0:00:00
IRENE INGLE PUB LIBR	I@I	AK	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
IRON CNTY BOOKMOBILE LIBR	UTIRN	UT	Public	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
IRVING PUB LIBR SYST	IJC	TX	Public	2	0	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
JACKSON CNTY LIBR SVC	JCL	OR	Public	16	16	1	10	10	0	5	0	0:16:48	0:16:48	0:00:00
JAMES MADISON UNIV LIBRS	VMC	VA	Academic	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
JAMES V BROWN LIBR	JVB	PA	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
JEFF DAVIS COUNTY LIBR	TXJDC	TX	Public	1	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
JEFFERSON CNTY PUB LIBR	QQ3	CO	Public	12	12	0	4	4	0	9	0	0:06:00	0:06:00	0:00:00
JEFFERSON CNTY RURAL LIBR DIST	Z85	WA	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
JEFFERSON PARISH LIBR	LMJ	LA	Public	2	2	0	1	1	0	1	0	3:00:00	3:00:00	0:00:00
JEROME PUB LIBR	J@R	ID	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
JOHNSON & WALES UNIV PROVIDENCE LIBR	PJW	RI	Academic	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
JOHNSON CNTY LIBR	KNJ	KS	Public	5	5	0	2	2	0	3	0	0:00:00	0:00:00	0:00:00
JOHNSON CNTY PUB LIBR	KH4	KY	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
JOINT BASE ELMENDORF-RICHARDSON LIBR	AYI	AK	Federal/Natl Government	2	2	0	1	1	0	1	0	1:00:00	1:00:00	0:00:00
JOINT BASE LEWIS-MCCHORD LIBRARY SYSTEM	AVW	WA	Federal/Natl Government	5	5	0	2	2	0	3	0	1:00:00	1:00:00	0:00:00
JOPLIN PUB LIBR	MQY	MO	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
KALAMAZOO COLL LIBR	EXK	MI	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
KANAB CITY LIBR	KANAB	UT	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
KANSAS PUB LIBR KANSAS CITY	KCK	KS	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
KEENE PUB LIBR	HA5	NH	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
KETCHIKAN PUB LIBR	Q2Z	AK	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
KIMBALL JUNCTION BRANCH SUMMIT CNTY LIBR	SUMCL	UT	Public	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
KIMBERLY PUB LIBR	KIMPL	ID	Public	2	2	0	1	1	0	1	0	2:00:00	2:00:00	0:00:00
KITSAP REG LIBR	YEQ	WA	Public	72	72	0	38	38	0	31	0	1:00:43	1:00:43	0:00:00
KLAMATH CNTY LIBR SERV DIST	KCL	OR	Public	22	22	0	7	7	0	15	0	1:17:02	1:17:02	0:00:00
KNOX CNTY PUB LIBR, KNOXVILLE	TKL	TN	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
